product;price;rating;recall;instalment;instalment_price;instalment_time
Creative Bracket UN-60;2290;9;(221 отзыв);В рассрочку;764 ₸;x3
Lenovo IdeaPad 3 15IGL05 81WQ00JBRK серый;129990;9;(36 отзывов);В кредит;8 225 ₸;x24
Apple MacBook Air 13 MGN63 серый;448479;10;(388 отзывов);В рассрочку;37 374 ₸;x12
Lenovo IdeaPad Gaming 3 16IAH7 82SA00FARK темно-синий;422899;10;(25 отзывов);В кредит;26 756 ₸;x24
Lenovo IdeaPad 1 15ADA7 82R10055RK серый;196410;10;(17 отзывов);В кредит;12 427 ₸;x24
Сумка Defender Lite черный;3180;9;(179 отзывов);В рассрочку;1 060 ₸;x3
Apple MacBook Air 13 MGN93 серебристый;452000;10;(175 отзывов);В рассрочку;37 667 ₸;x12
Рюкзак Xiaomi Mi Classic Business Backpack 2 черный;9499;10;(108 отзывов);В рассрочку;3 167 ₸;x3
ASUS X515JA-BQ3253 X515JA-BQ3253 серый;265000;10;(8 отзывов);В кредит;16 766 ₸;x24
Чехол Macbook Air 13 прозрачный;2359;10;(88 отзывов);В рассрочку;787 ₸;x3
Городской черный рюкзак от дождя для ноутбука и прочих ценных вещей с USB входом Meinaili 1603;4500;9;(95 отзывов);В рассрочку;1 500 ₸;x3
ST-30;4680;10;(58 отзывов);В рассрочку;1 560 ₸;x3
Lenovo IdeaPad 3 15IGL05 81WQ00JBRK серый;129990;9;(36 отзывов);В кредит;8 225 ₸;x24
Apple MacBook Air 13 MGN63 серый;448479;10;(388 отзывов);В рассрочку;37 374 ₸;x12
Lenovo IdeaPad Gaming 3 16IAH7 82SA00FARK темно-синий;422899;10;(25 отзывов);В кредит;26 756 ₸;x24
Lenovo IdeaPad 1 15ADA7 82R10055RK серый;196410;10;(17 отзывов);В кредит;12 427 ₸;x24
Apple MacBook Air 13 MGN93 серебристый;452000;10;(175 отзывов);В рассрочку;37 667 ₸;x12
ASUS X515JA-BQ3253 X515JA-BQ3253 серый;265000;10;(8 отзывов);В кредит;16 766 ₸;x24
Apple MacBook Air 13 MGND3 золотистый;449500;10;(177 отзывов);В рассрочку;37 459 ₸;x12
Apple MacBook Pro 14 MKGP3 серый;894990;10;(58 отзывов);В рассрочку;74 583 ₸;x12
Acer Aspire 3 A315-56 NX.HS5ER.02C черный;179900;9;(10 отзывов);В кредит;11 382 ₸;x24
