product;price;rating;recall;instalment;instalment_price;instalment_time
Creative Bracket UN-60;2290;9;(221 отзыв);В рассрочку;764 ₸;x3
Lenovo IdeaPad 3 15IGL05 81WQ00JBRK серый;129990;9;(36 отзывов);В рассрочку;10 833 ₸;x12
Apple MacBook Air 13 MGN63 серый;448479;10;(388 отзывов);В рассрочку;37 374 ₸;x12
Lenovo IdeaPad Gaming 3 16IAH7 82SA00FARK темно-синий;419984;10;(25 отзывов);В рассрочку;34 999 ₸;x12
Lenovo IdeaPad 1 15ADA7 82R10055RK серый;196410;10;(17 отзывов);В рассрочку;16 368 ₸;x12
Сумка Defender Lite черный;3180;9;(179 отзывов);В рассрочку;1 060 ₸;x3
Apple MacBook Air 13 MGN93 серебристый;452000;10;(175 отзывов);В рассрочку;37 667 ₸;x12
ASUS X515JA-BQ3253 X515JA-BQ3253 серый;265000;10;(8 отзывов);В рассрочку;22 084 ₸;x12
Рюкзак Xiaomi Mi Classic Business Backpack 2 черный;9499;10;(108 отзывов);В рассрочку;3 167 ₸;x3
Чехол Macbook Air 13 прозрачный;2291;10;(88 отзывов);В рассрочку;764 ₸;x3
Городской черный рюкзак от дождя для ноутбука и прочих ценных вещей с USB входом Meinaili 1603;4500;9;(95 отзывов);В рассрочку;1 500 ₸;x3
ST-30;4679;10;(58 отзывов);В рассрочку;1 560 ₸;x3
Lenovo IdeaPad 3 15IGL05 81WQ00JBRK серый;129990;9;(36 отзывов);В рассрочку;10 833 ₸;x12
Apple MacBook Air 13 MGN63 серый;448479;10;(388 отзывов);В рассрочку;37 374 ₸;x12
Lenovo IdeaPad Gaming 3 16IAH7 82SA00FARK темно-синий;419984;10;(25 отзывов);В рассрочку;34 999 ₸;x12
Lenovo IdeaPad 1 15ADA7 82R10055RK серый;196410;10;(17 отзывов);В рассрочку;16 368 ₸;x12
Apple MacBook Air 13 MGN93 серебристый;452000;10;(175 отзывов);В рассрочку;37 667 ₸;x12
ASUS X515JA-BQ3253 X515JA-BQ3253 серый;265000;10;(8 отзывов);В рассрочку;22 084 ₸;x12
Apple MacBook Air 13 MGND3 золотистый;449500;10;(177 отзывов);В рассрочку;37 459 ₸;x12
Apple MacBook Pro 14 MKGP3 серый;894990;10;(58 отзывов);В рассрочку;74 583 ₸;x12
Acer Aspire 3 A315-56 NX.HS5ER.02C черный;179900;9;(10 отзывов);В рассрочку;14 992 ₸;x12
Lenovo V15 G3 ABA 82TV005PRU черный;209990;10;(6 отзывов);В рассрочку;17 500 ₸;x12
ASUS FX506LHB-HN324 90NR03U2-M007U0 черный;479990;10;(29 отзывов);В рассрочку;40 000 ₸;x12
Apple MacBook Air 15 2023 MQKW3 синий;719871;10;(1 отзыв);В рассрочку;59 990 ₸;x12
Apple MacBook Air 15 2023 MQKW3 синий;719871;10;(1 отзыв);В рассрочку;59 990 ₸;x12
Acer Aspire 3 A315-56 NX.HS5ER.02D черный;229000;10;(19 отзывов);В рассрочку;19 084 ₸;x12
ASUS Laptop 15 L510KA-EJ152 90NB0UJ4-M001S0 синий;159990;10;(18 отзывов);В рассрочку;13 333 ₸;x12
Apple MacBook Air 13 MGN93RU/A серебристый;494737;10;(37 отзывов);В рассрочку;41 229 ₸;x12
ASUS VivoBook 16X 90NB0Y81-M009B0 синий;268257;10;(22 отзыва);В рассрочку;22 355 ₸;x12
ASUS X515EA-BQ1189W 90NB0TY1-M25390 серый;238796;10;(49 отзывов);В рассрочку;19 900 ₸;x12
Lenovo V15 G3 IAP 82TT003SRU черный;179067;9;(9 отзывов);В рассрочку;14 923 ₸;x12
ASUS TUF Gaming F15 FX506HC 90NR0724-M00LS0 черный;372990;10;(22 отзыва);В рассрочку;31 083 ₸;x12
Apple MacBook Air 13 MLY33 черный;583581;10;(23 отзыва);В рассрочку;48 632 ₸;x12
HP 17-cp0081ur 4Z2M2EA серебристый;189900;9;(6 отзывов);В рассрочку;15 825 ₸;x12
ASUS Vivobook 16x M1603QA-MB309 90NB0Y81-M00KX0 синий;299990;10;(8 отзывов);В рассрочку;25 000 ₸;x12
Lenovo 82JK00LPRK Legion 5 15ITH6 темно-синий;469990;8;(4 отзыва);В рассрочку;39 166 ₸;x12
ASUS ROG Strix G15 G513IC-HN033 90NR0502-M007K0 черный;449974;10;(17 отзывов);В рассрочку;37 498 ₸;x12
HP 15s-eq1113ur 398K5EA серый;169900;10;(6 отзывов);В рассрочку;14 159 ₸;x12
